gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G2900030,39.98343049461456,-94.80198392851942,1598.6747141176734,8987.416156783254,-3790.5085351575226
G4800030,32.30514541114256,-102.63780601421198,1043.6224200350653,10534.519223411007,-3315.7292479697603
G2300010,44.16553508056722,-70.20643307285556,1950.5944889528137,4928.943244813347,-3100.704682760697
G4800050,31.254797052830828,-94.6115434275301,976.8623388136426,8951.344149739412,-2957.0645886825437
G2400030,39.005420680506205,-76.61168560227475,1521.422842463261,5869.350370821791,-2988.271025959407
G2700030,45.273159541389816,-93.24638886373414,2049.658974860136,8694.889036126722,-4221.55863968631
G3700070,34.97378068673452,-80.10268857235218,1223.1653355238043,6416.440716519241,-2801.4938625472405
G3100030,42.176605768075554,-98.06668160481289,1778.866074115664,9617.074040979744,-4136.11976902958
G2600090,44.99901941952028,-85.1402315241481,2024.9117487183632,7248.859023985543,-3831.2269317375935
G0400010,35.384752706938684,-109.48842794060188,1252.0807241312043,11987.715852904368,-3874.220946949673
G1900070,40.74311047973484,-92.86861266450748,1660.0010515638787,8624.57921823032,-3783.7561458897303
G1300010,31.749228717822355,-82.28892625578789,1008.0135241765958,6771.467384330496,-2612.6099406390267
G5100110,37.37224646230637,-78.81207935722989,1396.684805639371,6211.343852610302,-2945.384453945244
G4800070,28.13800319663016,-96.9960630829175,791.7472238935692,9408.236253585312,-2729.2755330876735
G0800050,39.65108982952915,-104.35988223880447,1572.20892466939,10890.98502089714,-4137.98306524992
G4800090,33.615182831043036,-98.6876488275439,1129.9805167644506,9739.252031108626,-3317.403358503658
G0800070,37.193688153745335,-107.0481785138143,1383.370438478056,11459.312523125454,-3981.516569069271
G2600110,44.06544488054158,-83.89506741937275,1941.763432520048,7038.382337301099,-3696.8734691176896
G0500010,34.29067107246581,-91.37470320387258,1175.8501226000435,8349.336385595803,-3133.299891908183
G5100130,38.87871827827233,-77.10105826593727,1511.554734961267,5944.573185727454,-2997.590323278035
G4200050,40.812150030324965,-79.4645547684821,1665.631590097754,6314.615464553091,-3243.119331304267
G4600010,44.88211889492587,-100.796039930515,2014.4045964982615,10159.841665673976,-4523.93984829907
G4800110,34.96484778212808,-101.35740882395878,1222.540580427387,10273.324323507117,-3543.9463711206445
G2300030,46.65642571905331,-68.59517382135206,2176.822060877539,4705.297871581503,-3200.4056320814625
G3100050,41.568853746541514,-101.69591157113724,1727.9696018013583,10342.058430284564,-4227.382474721822
G2200050,30.20353321648075,-90.91132264654016,912.253418759056,8264.868585343325,-2745.8431533089743
G3700090,36.434124010498024,-81.50030040622413,1327.4453924123486,6642.2989663047765,-2969.3920518932123
G3900050,40.84577800642086,-82.270643805526,1668.3775809498138,6768.458832175735,-3360.4084533258388
G5500030,46.31361236973247,-90.6778286876126,2144.9506907338364,8222.46861550002,-4199.617808367097
G0500030,33.19119988430981,-91.76804429672256,1101.6557497602075,8421.373954045232,-3045.891501244715
