gisjoin,year,n_couples,n_same_bpl,icm_rate
G2101030,1880,1683,1505.0,0.8942364824717766
G2101070,1880,2475,1769.0,0.7147474747474748
G2101090,1880,1052,764.0,0.7262357414448669
G2101790,1880,1547,1441.0,0.9314802844214608
G2101890,1880,733,493.0,0.6725784447476125
G2101930,1880,814,768.0,0.9434889434889436
G2101990,1880,3093,2504.0,0.809569996766893
G2102010,1880,864,789.0,0.9131944444444444
G2102030,1880,1418,997.0,0.7031029619181947
G2102070,1880,1147,1002.0,0.8735832606800349
G2102090,1880,1428,1294.0,0.9061624649859944
G2102130,1880,1260,810.0,0.6428571428571429
G2102150,1880,785,730.0,0.929936305732484
G2102170,1880,1161,1052.0,0.9061154177433248
G2102190,1880,1426,962.0,0.6746143057503506
G2102250,1880,2026,1472.0,0.7265547877591313
G2102270,1880,2800,2117.0,0.7560714285714286
G2102310,1880,1699,1375.0,0.809299587992937
G2102350,1880,1791,1383.0,0.7721943048576214
G2102390,1880,793,691.0,0.8713745271122321
G2205.00,1880,710,642.0,0.904225352112676
G2209.00,1880,1282,1159.0,0.90405616224649
G22021.0,1880,419,173.0,0.4128878281622912
G22023.0,1880,276,206.0,0.7463768115942029
G22025.0,1880,847,535.0,0.6316410861865407
G22077.0,1880,580,493.0,0.85
G22081.0,1880,351,119.0,0.339031339031339
G22083.0,1880,392,154.0,0.3928571428571428
G22085.0,1880,802,383.0,0.4775561097256858
G22087.0,1880,181,156.0,0.861878453038674
G22095.0,1880,430,416.0,0.9674418604651164
G2201010,1880,628,465.0,0.7404458598726115
G2201050,1880,625,394.0,0.6304
G22089.0,1880,127,108.0,0.8503937007874016
G2201170,1880,519,298.0,0.5741811175337187
G2201190,1880,586,243.0,0.4146757679180887
G2201250,1880,232,144.0,0.6206896551724138
G2303.00,1880,2825,2335.0,0.8265486725663717
G2305.00,1880,11907,10258.0,0.8615100361132108
G2309.00,1880,6454,6077.0,0.9415866129532072
G2407.00,1880,699,673.0,0.9628040057224606
G2509.00,1880,25303,15737.0,0.6219420622060625
G25027.0,1880,22423,13952.0,0.6222182580386211
G26051.0,1880,61,30.0,0.4918032786885246
G26057.0,1880,3004,1390.0,0.4627163781624501
G26059.0,1880,5428,2659.0,0.489867354458364
G26061.0,1880,113,28.0,0.247787610619469
G26065.0,1880,4571,2202.0,0.4817326624371035
G26067.0,1880,4511,2110.0,0.4677455109731767
G26073.0,1880,1347,621.0,0.4610244988864143
G26075.0,1880,5266,2680.0,0.5089251804025826
G26077.0,1880,4041,1926.0,0.4766146993318486
G26079.0,1880,356,149.0,0.4185393258426966
G26081.0,1880,6741,2931.0,0.4348019581664441
G26085.0,1880,331,123.0,0.3716012084592145
G26091.0,1880,6542,3224.0,0.4928156527055946
G26093.0,1880,2811,1555.0,0.5531839203130559
G26097.0,1880,130,100.0,0.7692307692307693
G26099.0,1880,2453,1313.0,0.5352629433346923
G2601010,1880,548,221.0,0.4032846715328467
G2601070,1880,1340,531.0,0.3962686567164179
G2601090,1880,236,82.0,0.3474576271186441
G2601210,1880,1707,654.0,0.383128295254833
G2601270,1880,1381,578.0,0.4185372918175235
G2601290,1880,152,70.0,0.4605263157894737
G2601310,1880,39,12.0,0.3076923076923077
G2601330,1880,995,444.0,0.4462311557788945
G2601370,1880,185,66.0,0.3567567567567568
G2601390,1880,1912,836.0,0.4372384937238494
G2601430,1880,87,46.0,0.5287356321839081
G2601490,1880,3776,1830.0,0.4846398305084746
G2701570,1880,1083,420.0,0.3878116343490305
G2701590,1880,217,77.0,0.3548387096774194
G2701670,1880,97,32.0,0.3298969072164948
G2601410,1880,20,10.0,0.5
G2701710,1880,901,381.0,0.4228634850166481
G2701730,1880,168,59.0,0.3511904761904761
G2803.00,1880,1466,655.0,0.446793997271487
G2807.00,1880,1761,938.0,0.5326519023282226
G28011.0,1880,345,138.0,0.4
G28013.0,1880,1538,791.0,0.5143042912873862
G28019.0,1880,967,498.0,0.5149948293691831
G28021.0,1880,494,350.0,0.708502024291498
G28025.0,1880,732,322.0,0.4398907103825136
G28031.0,1880,565,452.0,0.8
G28033.0,1880,1094,447.0,0.4085923217550274
G28047.0,1880,506,342.0,0.6758893280632411
G28049.0,1880,1326,723.0,0.5452488687782805
G28051.0,1880,964,542.0,0.5622406639004149
G28059.0,1880,591,395.0,0.6683587140439933
G28063.0,1880,492,327.0,0.6646341463414634
G28075.0,1880,1332,625.0,0.4692192192192192
G28079.0,1880,1294,684.0,0.5285935085007728
G28081.0,1880,1877,806.0,0.4294086307938199
G28085.0,1880,1102,862.0,0.7822141560798548
G28093.0,1880,1462,672.0,0.4596443228454172
G28099.0,1880,1005,515.0,0.5124378109452736
G2801070,1880,1380,609.0,0.4413043478260869
G2801150,1880,1419,683.0,0.4813248766737139
G2801190,1880,80,49.0,0.6125
G2801210,1880,1040,628.0,0.6038461538461538
G2801250,1880,192,105.0,0.546875
G29031.0,1880,1617,930.0,0.575139146567718
G29041.0,1880,2620,1191.0,0.4545801526717557
G29043.0,1880,1438,603.0,0.4193324061196106
G29047.0,1880,1977,970.0,0.490642387455741
G29049.0,1880,2012,882.0,0.4383697813121272
G29051.0,1880,911,465.0,0.5104281009879253
G29055.0,1880,1411,675.0,0.478384124734231
G29065.0,1880,1583,720.0,0.4548325963360707
G29071.0,1880,1333,746.0,0.5596399099774944
G29077.0,1880,3698,1533.0,0.4145484045429962
G29079.0,1880,2239,789.0,0.3523894595801697
G29085.0,1880,1075,454.0,0.4223255813953488
G29087.0,1880,2005,717.0,0.3576059850374065
G29089.0,1880,1778,1046.0,0.5883014623172104
G29091.0,1880,1359,509.0,0.3745401030169242
G29093.0,1880,933,422.0,0.4523043944265809
G29095.0,1880,6290,2688.0,0.4273449920508744
