gisjoin,state,county,year,total_farms,farms_reporting_fert,fert_expenditure_dollars,fert_tons_purchased,share_farms_reporting_fert,fert_exp_per_farm
G0500570,Arkansas,Hempstead,1910,4186.0,415.0,10891.0,,0.09913999044433827,2.6017677974199716
G0500590,Arkansas,Hot Spring,1910,2028.0,443.0,10994.0,,0.21844181459566075,5.4211045364891515
G0500610,Arkansas,Howard,1910,2658.0,421.0,7039.0,,0.15838976674191121,2.648231753197893
G0500630,Arkansas,Independence,1910,3683.0,268.0,6991.0,,0.07276676622318762,1.8981808308444204
G0500650,Arkansas,Izard,1910,2477.0,108.0,1428.0,,0.04360113039967703,0.5765038352846185
G0500670,Arkansas,Jackson,1910,3186.0,10.0,712.0,,0.003138731952291274,0.22347771500313873
G0500690,Arkansas,Jefferson,1910,7113.0,232.0,9265.0,,0.03261633628567412,1.3025446365809081
G0500710,Arkansas,Johnson,1910,3069.0,234.0,4580.0,,0.07624633431085044,1.4923427826653632
G0500730,Arkansas,Lafayette,1910,1674.0,387.0,11532.0,,0.23118279569892472,6.888888888888889
G0500750,Arkansas,Lawrence,1910,2548.0,304.0,3647.0,,0.11930926216640503,1.4313186813186813
G0500770,Arkansas,Lee,1910,3886.0,16.0,1623.0,,0.004117344312918168,0.41765311374163666
G0500790,Arkansas,Lincoln,1910,2996.0,299.0,9236.0,,0.09979973297730307,3.082777036048064
G0500810,Arkansas,Little River,1910,2021.0,50.0,1734.0,,0.024740227610094014,0.8579910935180604
G0500830,Arkansas,Logan,1910,4158.0,119.0,4572.0,,0.02861952861952862,1.0995670995670996
G0500850,Arkansas,Lonoke,1910,5104.0,697.0,20382.0,,0.13655956112852666,3.9933385579937304
G0500870,Arkansas,Madison,1910,2728.0,4.0,48.0,,0.001466275659824047,0.017595307917888565
G0500890,Arkansas,Marion,1910,1685.0,11.0,126.0,,0.006528189910979229,0.07477744807121661
G0500910,Arkansas,Miller,1910,1986.0,310.0,6634.0,,0.15609264853977844,3.3403826787512587
G0500930,Arkansas,Mississippi,1910,3530.0,6.0,350.0,,0.0016997167138810198,0.09915014164305949
G0500950,Arkansas,Monroe,1910,2905.0,15.0,672.0,,0.0051635111876075735,0.23132530120481928
G0500970,Arkansas,Montgomery,1910,2067.0,194.0,3426.0,,0.0938558297048863,1.6574746008708272
G0500990,Arkansas,Nevada,1910,2855.0,624.0,16338.0,,0.21856392294220667,5.722591943957968
G0501010,Arkansas,Newton,1910,1899.0,5.0,82.0,,0.0026329647182727752,0.04318062137967351
G0501030,Arkansas,Ouachita,1910,2300.0,514.0,15190.0,,0.2234782608695652,6.604347826086957
G0501050,Arkansas,Perry,1910,1302.0,35.0,718.0,,0.026881720430107527,0.5514592933947773
G0501070,Arkansas,Phillips,1910,4651.0,39.0,3039.0,,0.008385293485271984,0.6534078692754246
G0501090,Arkansas,Pike,1910,1912.0,253.0,5095.0,,0.13232217573221758,2.6647489539748954
G0501110,Arkansas,Poinsett,1910,1535.0,3.0,524.0,,0.001954397394136808,0.34136807817589576
G0501130,Arkansas,Polk,1910,2276.0,289.0,5568.0,,0.12697715289982425,2.4463971880492092
G0501150,Arkansas,Pope,1910,3838.0,233.0,3755.0,,0.06070870244919229,0.9783741532047942
G0501170,Arkansas,Prairie,1910,1904.0,165.0,5573.0,,0.08665966386554622,2.9269957983193278
G0501190,Arkansas,Pulaski,1910,4750.0,397.0,12485.0,,0.08357894736842106,2.628421052631579
G0501210,Arkansas,Randolph,1910,3052.0,33.0,542.0,,0.010812581913499346,0.17758846657929228
G0501230,Arkansas,St Francis,1910,3807.0,32.0,1547.0,,0.008405568689256633,0.40635671132125034
G0501250,Arkansas,Saline,1910,2384.0,601.0,14023.0,,0.2520973154362416,5.882130872483222
G0501270,Arkansas,Scott,1910,2384.0,58.0,1048.0,,0.024328859060402684,0.4395973154362416
G0501290,Arkansas,Searcy,1910,2043.0,6.0,56.0,,0.002936857562408223,0.02741067058247675
G0501310,Arkansas,Sebastian,1910,3327.0,308.0,9222.0,,0.09257589419897806,2.7718665464382326
G0501330,Arkansas,Sevier,1910,2206.0,74.0,1352.0,,0.033544877606527655,0.6128739800543971
G0501350,Arkansas,Sharp,1910,2144.0,94.0,837.0,,0.043843283582089554,0.3903917910447761
G0501370,Arkansas,Stone,1910,1470.0,45.0,535.0,,0.030612244897959183,0.36394557823129253
G0501390,Arkansas,Union,1910,3504.0,968.0,27091.0,,0.2762557077625571,7.731449771689498
G0501410,Arkansas,Van Buren,1910,2315.0,674.0,13875.0,,0.2911447084233261,5.993520518358531
G0501430,Arkansas,Washington,1910,4700.0,80.0,8856.0,,0.01702127659574468,1.8842553191489362
G0501450,Arkansas,White,1910,4060.0,1843.0,48932.0,,0.4539408866995074,12.052216748768473
G0501470,Arkansas,Woodruff,1910,3229.0,8.0,386.0,,0.0024775472282440383,0.11954165376277485
G0501490,Arkansas,Yell,1910,4064.0,126.0,2178.0,,0.031003937007874016,0.5359251968503937
G0600010,California,Alameda,1910,2422.0,103.0,17723.0,,0.04252683732452518,7.317506193228737
G0600030,California,Alpine,1910,42.0,0.0,0.0,,0.0,0.0
G0600050,California,Amador,1910,537.0,6.0,208.0,,0.0111731843575419,0.38733705772811916
G0600070,California,Butte,1910,1500.0,145.0,24935.0,,0.09666666666666666,16.623333333333335
G0600090,California,Calaveras,1910,632.0,23.0,649.0,,0.03639240506329114,1.0268987341772151
G0600110,California,Colusa,1910,667.0,10.0,266.0,,0.014992503748125937,0.3988005997001499
G0600130,California,Contra Costa,1910,1465.0,21.0,1879.0,,0.014334470989761093,1.2825938566552901
G0600150,California,Del Norte,1910,114.0,2.0,77.0,,0.017543859649122806,0.6754385964912281
G0600170,California,El Dorado,1910,716.0,26.0,467.0,,0.036312849162011177,0.6522346368715084
G0600190,California,Fresno,1910,6245.0,459.0,34491.0,,0.07349879903923139,5.522978382706165
G0600210,California,Glenn,1910,663.0,11.0,906.0,,0.016591251885369532,1.3665158371040724
G0600230,California,Humboldt,1910,1534.0,30.0,1680.0,,0.01955671447196871,1.0951760104302477
G0600250,California,Imperial,1910,1322.0,6.0,681.0,,0.0045385779122541605,0.5151285930408472
G0600270,California,Inyo,1910,438.0,4.0,221.0,,0.0091324200913242,0.5045662100456622
G0600290,California,Kern,1910,1167.0,12.0,1430.0,,0.010282776349614395,1.2253641816623821
G0600310,California,Kings,1910,1837.0,11.0,790.0,,0.005988023952095809,0.43004899292324444
G0600330,California,Lake,1910,603.0,2.0,40.0,,0.003316749585406302,0.06633499170812604
G0600350,California,Lassen,1910,502.0,3.0,63.0,,0.00597609561752988,0.1254980079681275
G0600370,California,Los Angeles,1910,7919.0,1607.0,669152.0,,0.2029296628362167,84.49955802500315
G0600390,California,Madera,1910,573.0,6.0,608.0,,0.010471204188481676,1.0610820244328099
G0600410,California,Marin,1910,498.0,2.0,35.0,,0.004016064257028112,0.07028112449799197
G0600430,California,Mariposa,1910,330.0,1.0,60.0,,0.0030303030303030303,0.18181818181818182
G0600450,California,Mendocino,1910,1356.0,17.0,866.0,,0.012536873156342183,0.6386430678466076
G0600470,California,Merced,1910,1856.0,150.0,3609.0,,0.08081896551724138,1.9445043103448276
G0600490,California,Modoc,1910,736.0,1.0,5.0,,0.001358695652173913,0.006793478260869565
G0600510,California,Mono,1910,91.0,0.0,0.0,,0.0,0.0
G0600530,California,Monterey,1910,1658.0,15.0,1252.0,,0.009047044632086852,0.7551266586248492
G0600550,California,Napa,1910,1537.0,27.0,1290.0,,0.01756668835393624,0.8392973324658426
G0600570,California,Nevada,1910,544.0,40.0,932.0,,0.07352941176470588,1.713235294117647
G0600590,California,Orange,1910,3165.0,426.0,71118.0,,0.13459715639810427,22.470142180094786
G0600610,California,Placer,1910,1062.0,81.0,7786.0,,0.07627118644067797,7.3314500941619585
G0600630,California,Plumas,1910,221.0,3.0,260.0,,0.013574660633484163,1.1764705882352942
