gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G1801190,1850,0.0,0.0,202.0,9.0,3.652129817444219,,0.0445544554455445
G1801210,1850,0.0,0.0,216.0,9.0,3.4467368421052633,,0.0416666666666666
G1801230,1850,0.0,0.0,88.0,5.0,3.2207578253706752,,0.0568181818181818
G1801250,1850,0.0,0.0,90.0,7.0,3.197019867549669,,0.0777777777777777
G1801270,1850,0.0,0.0,65.0,1.0,3.230057803468208,,0.0153846153846153
G1801290,1850,0.0,0.0,190.0,13.0,2.937360178970917,,0.0684210526315789
G1801330,1850,0.0,0.0,349.0,8.0,3.629666336306574,,0.0229226361031518
G1801350,1850,0.0,0.0,251.0,6.0,3.439556084026952,,0.0239043824701195
G1801370,1850,0.0,0.0,280.0,7.0,3.1913696060037524,,0.025
G1801470,1850,0.0,0.0,125.0,4.0,3.2083333333333335,,0.032
G1801490,1850,0.0,0.0,6.0,0.0,3.04,,0.0
G1801550,1850,0.0,0.0,312.0,8.0,3.1876106194690266,,0.0256410256410256
G1801590,1850,0.0,0.0,43.0,1.0,3.3977635782747604,,0.0232558139534883
G1801630,1850,0.0,0.0,131.0,4.0,2.6254901960784314,,0.0305343511450381
G21065.0,1850,0.0,0.0,102.0,6.0,3.6421621621621623,,0.0588235294117647
G21069.0,1850,0.0,0.0,392.0,20.0,3.2711693548387095,,0.0510204081632653
G21073.0,1850,0.0,0.0,231.0,20.0,3.0115690527838033,,0.0865800865800865
G21075.0,1850,0.0,0.0,42.0,2.0,3.27318718381113,,0.0476190476190476
G21077.0,1850,0.0,0.0,86.0,8.0,3.3877822045152723,,0.0930232558139534
G21083.0,1850,0.0,0.0,153.0,8.0,3.4567164179104477,,0.0522875816993464
G21087.0,1850,0.0,0.0,172.0,10.0,3.404059040590406,,0.0581395348837209
G21089.0,1850,0.0,0.0,137.0,5.0,3.2658227848101267,,0.0364963503649635
G21091.0,1850,0.0,0.0,48.0,1.0,3.148820326678766,,0.0208333333333333
G21093.0,1850,0.0,0.0,236.0,14.0,3.4643595041322315,,0.059322033898305
G21095.0,1850,0.0,0.0,74.0,2.0,3.649926144756278,,0.027027027027027
G21099.0,1850,0.0,0.0,149.0,9.0,3.658852061438965,,0.0604026845637583
G2101010,1850,0.0,0.0,145.0,10.0,3.0723533891850723,,0.0689655172413793
G2101030,1850,0.0,0.0,212.0,7.0,3.2212765957446807,,0.0330188679245283
G2101070,1850,0.0,0.0,179.0,6.0,3.4412455934195063,,0.0335195530726257
G2101130,1850,0.0,0.0,195.0,15.0,3.126570048309179,,0.0769230769230769
G2101170,1850,0.0,0.0,258.0,24.0,2.6890243902439024,,0.0930232558139534
G2101210,1850,0.0,0.0,158.0,4.0,3.5699721964782207,,0.0253164556962025
G2101230,1850,0.0,0.0,94.0,4.0,3.4882860665844637,,0.0425531914893617
G2101250,1850,0.0,0.0,92.0,1.0,3.4646153846153847,,0.0108695652173913
G2101330,1850,0.0,0.0,41.0,2.0,3.6423357664233578,,0.048780487804878
G2101350,1850,0.0,0.0,191.0,10.0,3.1862582781456954,,0.0523560209424083
G2101370,1850,0.0,0.0,160.0,12.0,3.1742700729927007,,0.075
G2101410,1850,0.0,0.0,295.0,17.0,3.1390516782099094,,0.0576271186440678
G2101450,1850,0.0,0.0,42.0,2.0,3.177860696517413,,0.0476190476190476
G2101510,1850,0.0,0.0,262.0,10.0,3.1747252747252745,,0.0381679389312977
G2101570,1850,0.0,0.0,80.0,4.0,3.343822843822844,,0.05
G2101630,1850,0.0,0.0,118.0,8.0,3.530944625407166,,0.0677966101694915
G2101670,1850,0.0,0.0,287.0,16.0,3.2765084944346805,,0.0557491289198606
G2101710,1850,0.0,0.0,187.0,6.0,3.2305825242718447,,0.0320855614973262
G2101730,1850,0.0,0.0,193.0,15.0,3.4320524835988753,,0.077720207253886
G2101750,1850,0.0,0.0,129.0,4.0,3.7586206896551726,,0.0310077519379844
G2101790,1850,0.0,0.0,297.0,9.0,3.081462475946119,,0.0303030303030303
G2101890,1850,0.0,0.0,57.0,5.0,3.697594501718213,,0.087719298245614
G2101930,1850,0.0,0.0,55.0,3.0,3.514344262295082,,0.0545454545454545
G2101990,1850,0.0,0.0,276.0,5.0,3.45316001792918,,0.0181159420289855
G2102030,1850,0.0,0.0,119.0,5.0,3.4402173913043477,,0.042016806722689
G2102070,1850,0.0,0.0,139.0,6.0,3.442002442002442,,0.0431654676258992
G2102090,1850,0.0,0.0,268.0,19.0,3.14427531436135,,0.0708955223880597
G2102130,1850,0.0,0.0,114.0,9.0,3.4687830687830687,,0.0789473684210526
G2102150,1850,0.0,0.0,122.0,6.0,3.307788944723618,,0.0491803278688524
G2102170,1850,0.0,0.0,161.0,3.0,3.391578947368421,,0.0186335403726708
G2102190,1850,0.0,0.0,161.0,6.0,3.2947845804988662,,0.0372670807453416
G23021.0,1850,0.0,0.0,429.0,20.0,3.1297359357060848,,0.0466200466200466
G23029.0,1850,0.0,0.0,914.0,53.0,3.2768059604794297,,0.0579868708971553
G23031.0,1850,0.0,0.0,3037.0,170.0,2.6239379386775026,,0.0559762923938096
G2401.00,1850,0.0,0.0,416.0,19.0,2.8019935344827585,,0.0456730769230769
G2503.00,1850,0.0,0.0,2027.0,142.0,2.257091196745395,,0.0700542673902318
G2509.00,1850,0.0,0.0,5323.0,366.0,2.1205073155216283,,0.0687582190494082
G25017.0,1850,0.0,0.0,4655.0,346.0,2.066720997803132,,0.074328678839957
G26059.0,1850,0.0,0.0,233.0,13.0,2.8127090301003346,,0.055793991416309
G26061.0,1850,0.0,0.0,3.0,0.0,1.5894736842105264,,0.0
G26065.0,1850,0.0,0.0,137.0,6.0,2.9400630914826498,,0.0437956204379562
G26067.0,1850,0.0,0.0,102.0,8.0,2.955539358600583,,0.0784313725490196
G26075.0,1850,0.0,0.0,347.0,20.0,2.8101589103291715,,0.0576368876080691
G26077.0,1850,0.0,0.0,212.0,13.0,2.6683738796414853,,0.0613207547169811
G26081.0,1850,0.0,0.0,112.0,8.0,2.7211538461538463,,0.0714285714285714
G26091.0,1850,0.0,0.0,487.0,24.0,2.845,,0.0492813141683778
G26093.0,1850,0.0,0.0,260.0,13.0,3.098458904109589,,0.05
G26099.0,1850,0.0,0.0,316.0,20.0,3.0329295987887965,,0.0632911392405063
G26097.0,1850,0.0,0.0,28.0,0.0,2.080979284369115,,0.0
G2601270,1850,0.0,0.0,3.0,0.0,1.7735849056603774,,0.0
G2601310,1850,0.0,0.0,2.0,0.0,1.0303030303030305,,0.0
G2601390,1850,0.0,0.0,51.0,5.0,2.188365650969529,,0.0980392156862745
G2601490,1850,0.0,0.0,213.0,10.0,2.795837023914969,,0.0469483568075117
G2601530,1850,0.0,0.0,0.0,0.0,1.6,,
G2601550,1850,0.0,0.0,61.0,3.0,2.8977035490605427,,0.0491803278688524
G2601570,1850,0.0,0.0,1.0,0.0,2.0625,,0.0
G2601590,1850,0.0,0.0,79.0,3.0,2.825261158594492,,0.0379746835443038
G2601630,1850,0.0,0.0,644.0,42.0,2.670721112076455,,0.0652173913043478
G2709.00,1850,0.0,0.0,2.0,0.0,1.8833333333333333,,0.0
G27037.0,1850,0.0,0.0,4.0,1.0,2.0675675675675675,,0.25
G27087.0,1850,0.0,0.0,0.0,0.0,0.8181818181818182,,
G27069.0,1850,0.0,0.0,14.0,0.0,3.386363636363636,,0.0
G2701570,1850,0.0,0.0,2.0,0.0,1.8703703703703705,,0.0
G2701590,1850,0.0,0.0,1.0,0.0,1.8461538461538465,,0.0
G2807.00,1850,0.0,0.0,82.0,1.0,2.99860529986053,,0.0121951219512195
G28011.0,1850,0.0,0.0,6.0,0.0,1.7582417582417582,,0.0
G28019.0,1850,0.0,0.0,101.0,3.0,3.583454281567489,,0.0297029702970297
G28021.0,1850,0.0,0.0,57.0,2.0,2.356012658227848,,0.0350877192982456
