GISJOIN,STATE,COUNTY,n_soil_types,hhi,shi
G1300510,130,510,10,0.2416895229759014,0.7583104770240985
G1300530,130,530,8,0.4068794661280073,0.5931205338719927
G1300550,130,550,9,0.201062223171468,0.798937776828532
G1300570,130,570,10,0.2219991372901912,0.7780008627098087
G1300590,130,590,2,0.5037519870101286,0.4962480129898714
G1300610,130,610,11,0.2123106123645385,0.7876893876354614
G1300630,130,630,6,0.2382544469792842,0.7617455530207158
G1300650,130,650,8,0.2632127897826385,0.7367872102173614
G1300670,130,670,7,0.3194955888203968,0.6805044111796031
G1300690,130,690,14,0.2875380692076179,0.7124619307923821
G1300710,130,710,7,0.5428597542906899,0.4571402457093101
G1300730,130,730,10,0.2806186464928798,0.7193813535071202
G1300750,130,750,5,0.3212593419689319,0.678740658031068
G1300770,130,770,3,0.8302721992605974,0.1697278007394026
G1300790,130,790,9,0.1802090668222168,0.8197909331777831
G1300810,130,810,9,0.6307389069568976,0.3692610930431024
G1300830,130,830,10,0.2362445493169554,0.7637554506830446
G1300850,130,850,5,0.441872420224811,0.558127579775189
G1300870,130,870,9,0.1835438143132537,0.8164561856867463
G1300890,130,890,8,0.3398720985174392,0.6601279014825607
G1300910,130,910,6,0.3652235942779572,0.6347764057220429
G1300930,130,930,8,0.2322702373276773,0.7677297626723227
G1300950,130,950,10,0.3995926309476047,0.6004073690523952
G1300970,130,970,4,0.3153630680395058,0.6846369319604941
G1300990,130,990,9,0.251006637295646,0.748993362704354
G1301010,130,1010,11,0.2807438029668508,0.7192561970331491
G1301030,130,1030,11,0.2286471390429237,0.7713528609570762
G1301050,130,1050,5,0.2873246228036303,0.7126753771963696
G1301070,130,1070,11,0.3759997818913763,0.6240002181086237
G1301090,130,1090,10,0.2636779030304292,0.7363220969695707
G1301110,130,1110,7,0.3186472268078784,0.6813527731921216
G1301130,130,1130,3,0.7849931431152304,0.2150068568847696
G1301150,130,1150,9,0.1394224732052001,0.8605775267947999
G1301170,130,1170,6,0.4410231792192457,0.5589768207807543
G1301190,130,1190,5,0.4954933111852056,0.5045066888147944
G1301210,130,1210,7,0.2588140650136826,0.7411859349863175
G1301230,130,1230,6,0.3809393422551956,0.6190606577448043
G1301250,130,1250,7,0.2598795289023746,0.7401204710976254
G1301270,130,1270,8,0.2590359639252151,0.7409640360747849
G1301290,130,1290,8,0.1976458897785405,0.8023541102214594
G1301310,130,1310,7,0.2661678238465607,0.7338321761534393
G1301330,130,1330,6,0.3881737607258792,0.6118262392741207
G1301350,130,1350,6,0.2803281705853108,0.7196718294146891
G1301370,130,1370,7,0.6063929597479883,0.3936070402520116
G1301390,130,1390,4,0.5272311341955885,0.4727688658044114
G1301410,130,1410,13,0.1540105453953068,0.8459894546046931
G1301430,130,1430,3,0.4948845631792004,0.5051154368207996
G1301450,130,1450,8,0.3361247934017254,0.6638752065982746
G1301470,130,1470,4,0.5479968786884688,0.4520031213115312
G1301490,130,1490,6,0.2834360290940327,0.7165639709059672
G1301510,130,1510,4,0.5025969032366768,0.4974030967633231
G1301530,130,1530,6,0.4398615883918154,0.5601384116081846
G1301550,130,1550,9,0.2566634424677195,0.7433365575322806
G1301570,130,1570,2,0.5000013770615268,0.4999986229384732
G1301590,130,1590,6,0.4288658280018129,0.5711341719981871
G1301610,130,1610,9,0.2132853491876299,0.78671465081237
G1301630,130,1630,10,0.2998072088166255,0.7001927911833745
G1301650,130,1650,9,0.2154987372532995,0.7845012627467005
G1301670,130,1670,9,0.3332299355272579,0.6667700644727421
G1301690,130,1690,10,0.2382877044279283,0.7617122955720717
G1301710,130,1710,5,0.6118822846117989,0.388117715388201
G1301730,130,1730,12,0.2240521711815778,0.7759478288184222
G1301750,130,1750,9,0.3738536469113806,0.6261463530886193
G1301770,130,1770,7,0.2380091192940155,0.7619908807059844
G1301790,130,1790,13,0.1577957443691813,0.8422042556308187
G1301810,130,1810,6,0.2616715119436212,0.7383284880563787
G1301830,130,1830,12,0.1395075272811363,0.8604924727188636
G1301850,130,1850,15,0.1945144747288153,0.8054855252711847
G1301870,130,1870,6,0.4449629241340722,0.5550370758659278
G1301890,130,1890,8,0.2782170813739916,0.7217829186260083
G1301910,130,1910,11,0.2311055235819457,0.7688944764180543
G1301930,130,1930,10,0.174622381357804,0.8253776186421959
G1301950,130,1950,2,0.6058650026017213,0.3941349973982787
G1301970,130,1970,7,0.2736469093431645,0.7263530906568354
G1301990,130,1990,4,0.7321962498194589,0.2678037501805411
G1302010,130,2010,5,0.3917453444142342,0.6082546555857657
G1302050,130,2050,10,0.2301953765447267,0.7698046234552733
G1302070,130,2070,6,0.4338744927806154,0.5661255072193845
G1302090,130,2090,7,0.3136770315352238,0.6863229684647761
G1302110,130,2110,3,0.6182651214096013,0.3817348785903987
G1302130,130,2130,11,0.1567914415771957,0.8432085584228043
G1302150,130,2150,10,0.2347684476138035,0.7652315523861964
G1302170,130,2170,5,0.3677945337821221,0.6322054662178779
G1302190,130,2190,2,0.5093861796512988,0.4906138203487011
G1302210,130,2210,4,0.3756060321576344,0.6243939678423656
G1302230,130,2230,5,0.3887107418072646,0.6112892581927354
G1302250,130,2250,4,0.5472901744951134,0.4527098255048866
G1302270,130,2270,6,0.3946875716366135,0.6053124283633865
G1302290,130,2290,7,0.3103053964367246,0.6896946035632754
G1302310,130,2310,4,0.6499576057587252,0.3500423942412748
G1302330,130,2330,8,0.2785624034471835,0.7214375965528165
G1302350,130,2350,9,0.3757467450477839,0.6242532549522162
G1302370,130,2370,6,0.3713078822340555,0.6286921177659446
G1302390,130,2390,6,0.5309569506838114,0.4690430493161885
G1302410,130,2410,12,0.1687673009216591,0.8312326990783409
G1302430,130,2430,7,0.2408043557668463,0.7591956442331537
G1302450,130,2450,9,0.1736716537411693,0.8263283462588307
G1302470,130,2470,4,0.3062235229531893,0.6937764770468107
