gisjoin,state,county,year,religious_diversity_index,source,rdi_zscore
G0501390,Arkansas,Union,1850,0.6428571428571429,churches_proxy,0.2260967998878008
G0501410,Arkansas,Van Buren,1850,,churches_proxy,
G0501430,Arkansas,Washington,1850,0.6428571428571429,churches_proxy,0.2260967998878008
G0501450,Arkansas,White,1850,,churches_proxy,
G0501490,Arkansas,Yell,1850,0.5454545454545455,churches_proxy,-0.2480129966239609
G0600070,California,Butte,1850,,churches_proxy,
G0600090,California,Calaveras,1850,,churches_proxy,
G0600110,California,Colusa,1850,,churches_proxy,
G0600115,California,Colusa-Shasta-Trinity [multi-county reporting area],1850,,churches_proxy,
G0600130,California,Contra Costa,1850,,churches_proxy,
G0600170,California,El Dorado,1850,0.0,churches_proxy,-2.903027857089828
G0600370,California,Los Angeles,1850,0.0,churches_proxy,-2.903027857089828
G0600410,California,Marin,1850,0.0,churches_proxy,-2.903027857089828
G0600430,California,Mariposa,1850,,churches_proxy,
G0600450,California,Mendocino,1850,,churches_proxy,
G0600530,California,Monterey,1850,0.0,churches_proxy,-2.903027857089828
G0600550,California,Napa,1850,,churches_proxy,
G0600670,California,Sacramento,1850,0.7346938775510204,churches_proxy,0.6731146080274619
G0600730,California,San Diego,1850,,churches_proxy,
G0600750,California,San Francisco,1850,,churches_proxy,
G0600770,California,San Joaquin,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G0600790,California,San Luis Obispo,1850,,churches_proxy,
G0600830,California,Santa Barbara,1850,0.0,churches_proxy,-2.903027857089828
G0600850,California,Santa Clara,1850,,churches_proxy,
G0600870,California,Santa Cruz,1850,0.0,churches_proxy,-2.903027857089828
G0600890,California,Shasta,1850,,churches_proxy,
G0600950,California,Solano,1850,0.0,churches_proxy,-2.903027857089828
G0600970,California,Sonoma,1850,0.0,churches_proxy,-2.903027857089828
G0601010,California,Sutter,1850,,churches_proxy,
G0601050,California,Trinity,1850,,churches_proxy,
G0601090,California,Tuolumne,1850,,churches_proxy,
G0601130,California,Yolo,1850,,churches_proxy,
G0601150,California,Yuba,1850,,churches_proxy,
G0900010,Connecticut,Fairfield,1850,0.7729153312744013,churches_proxy,0.8591585753384668
G0900030,Connecticut,Hartford,1850,0.7692097534321427,churches_proxy,0.8411215742358161
G0900050,Connecticut,Litchfield,1850,0.7714497041420119,churches_proxy,0.8520245953417411
G0900070,Connecticut,Middlesex,1850,0.746508875739645,churches_proxy,0.7306244336006169
G0900090,Connecticut,New Haven,1850,0.7242906965783769,churches_proxy,0.622476841216907
G0900110,Connecticut,New London,1850,0.751441753171857,churches_proxy,0.7546353488941463
G0900130,Connecticut,Tolland,1850,0.6948245092207019,churches_proxy,0.4790493714710934
G0900150,Connecticut,Windham,1850,0.7311205168188906,churches_proxy,0.6557211773105103
G1000010,Delaware,Kent,1850,0.453125,churches_proxy,-0.6974295745674023
G1000030,Delaware,New Castle,1850,0.7348470632388816,churches_proxy,0.6738602435365457
G1000050,Delaware,Sussex,1850,0.4987072680264292,churches_proxy,-0.475556643096905
G1100017,District Of Columbia,Georgetown,1850,,churches_proxy,
G1100075,District Of Columbia,Rural Washington county,1850,,churches_proxy,
G1100115,District Of Columbia,Washington City,1850,,churches_proxy,
G1200010,Florida,Alachua,1850,0.48,churches_proxy,-0.5666147798798654
G1200065,Florida,Benton,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G1200130,Florida,Calhoun,1850,0.0,churches_proxy,-2.903027857089828
G1200230,Florida,Columbia,1850,0.4982698961937716,churches_proxy,-0.477685562408206
G1200250,Florida,Dade,1850,,churches_proxy,
G1200310,Florida,Duval,1850,0.75,churches_proxy,0.7476175760507386
G1200330,Florida,Escambia,1850,0.7777777777777778,churches_proxy,0.882826666167056
G1200370,Florida,Franklin,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G1200390,Florida,Gadsden,1850,0.615,churches_proxy,0.0905013980854366
