gisjoin,state,county,year,total_farms,farm_size_gini
G1302890,Georgia,Twiggs,1860,280.0,0.4629066307955938
G1302910,Georgia,Union,1860,392.0,0.4611943753111001
G1302930,Georgia,Upson,1860,482.0,0.4663454028235985
G1302950,Georgia,Walker,1860,675.0,0.4528589826295107
G1302970,Georgia,Walton,1860,739.0,0.3696260071492814
G1302990,Georgia,Ware,1860,173.0,0.5726115078381211
G1303010,Georgia,Warren,1860,442.0,0.3832915323791728
G1303030,Georgia,Washington,1860,697.0,0.4337222780783707
G1303050,Georgia,Wayne,1860,180.0,0.4837050278061515
G1303070,Georgia,Webster,1860,271.0,0.3859513320496694
G1303110,Georgia,White,1860,274.0,0.4836784483071286
G1303130,Georgia,Whitfield,1860,520.0,0.4730387543153153
G1303150,Georgia,Wilcox,1860,186.0,0.5692255654336407
G1303170,Georgia,Wilkes,1860,393.0,0.4157629588400189
G1303190,Georgia,Wilkinson,1860,531.0,0.4515648167579482
G1303210,Georgia,Worth,1860,287.0,0.5461845169289431
G1700010,Illinois,Adams,1860,2323.0,0.440248048855073
G1700030,Illinois,Alexander,1860,230.0,0.4605072188512595
G1700050,Illinois,Bond,1860,784.0,0.3905946963274596
G1700070,Illinois,Boone,1860,1327.0,0.3526380908950266
G1700090,Illinois,Brown,1860,1044.0,0.4796437184625566
G1700110,Illinois,Bureau,1860,2424.0,0.3915656883710865
G1700130,Illinois,Calhoun,1860,281.0,0.4648252159676735
G1700150,Illinois,Carroll,1860,1319.0,0.4362250534890401
G1700170,Illinois,Cass,1860,826.0,0.4199549243757652
G1700190,Illinois,Champaign,1860,1202.0,0.3964866154119232
G1700210,Illinois,Christian,1860,1052.0,0.3868296557742964
G1700230,Illinois,Clark,1860,1255.0,0.4753716206648863
G1700250,Illinois,Clay,1860,1032.0,0.4641131491120777
G1700270,Illinois,Clinton,1860,1365.0,0.4721493876270177
G1700290,Illinois,Coles,1860,1266.0,0.5156244958822153
G1700310,Illinois,Cook,1860,3485.0,0.5237803425643515
G1700330,Illinois,Crawford,1860,1187.0,0.4605372890877784
G1700350,Illinois,Cumberland,1860,792.0,0.4795616812690467
G1700370,Illinois,DeKalb,1860,2142.0,0.3224581171929975
G1700390,Illinois,De Witt,1860,845.0,0.3389833981957491
G1700410,Illinois,Douglas,1860,811.0,0.5098740027556371
G1700430,Illinois,Dupage,1860,1477.0,0.3987308679198839
G1700450,Illinois,Edgar,1860,1408.0,0.3835951288814283
G1700470,Illinois,Edwards,1860,513.0,0.4593203216937684
G1700490,Illinois,Effingham,1860,671.0,0.4537072661976752
G1700510,Illinois,Fayette,1860,1210.0,0.4889005965311639
G1700530,Illinois,Ford,1860,125.0,0.3901217692224505
G1700550,Illinois,Franklin,1860,1019.0,0.5311840635001198
G1700570,Illinois,Fulton,1860,2764.0,0.4583977412062392
G1700590,Illinois,Gallatin,1860,593.0,0.4998268040516238
G1700610,Illinois,Greene,1860,1256.0,0.4523323556216166
G1700630,Illinois,Grundy,1860,889.0,0.3800078185090358
G1700650,Illinois,Hamilton,1860,919.0,0.4777368507147674
G1700670,Illinois,Hancock,1860,2437.0,0.4445524441526207
G1700690,Illinois,Hardin,1860,399.0,0.5188853056091017
G1700710,Illinois,Henderson,1860,910.0,0.4253377960885312
