gisjoin,state,county,year,ag_diversity_index,ag_diversity_z
G0100770,Alabama,Lauderdale,1880,0.6227707638507445,0.24912361084057644
G0100790,Alabama,Lawrence,1880,0.5950413923103837,0.05631549126750207
G0100810,Alabama,Lee,1880,0.6479960915720833,0.4245205900503905
G0100830,Alabama,Limestone,1880,0.6118643152671245,0.17328879289068394
G0100850,Alabama,Lowndes,1880,0.4540772037638673,-0.9238379926020598
G0100870,Alabama,Macon,1880,0.5250101687057531,-0.4306262526143219
G0100890,Alabama,Madison,1880,0.6218629655374266,0.24281149931335813
G0100910,Alabama,Marengo,1880,0.5185724406411707,-0.47538912221806606
G0100930,Alabama,Marion,1880,0.574934135236197,-0.08349447235188581
G0100950,Alabama,Marshall,1880,0.6302131442737294,0.3008720384028305
G0100970,Alabama,Mobile,1880,0.7063750695293812,0.8304418330241545
G0100990,Alabama,Monroe,1880,0.572868271684312,-0.09785885367779282
G0101010,Alabama,Montgomery,1880,0.5031188058538314,-0.5828414768298203
G0101030,Alabama,Morgan,1880,0.6237729635554047,0.25609211498467394
G0101050,Alabama,Perry,1880,0.5356772495192187,-0.35645580883110317
G0101070,Alabama,Pickens,1880,0.5890842071507125,0.014893936981173948
G0101090,Alabama,Pike,1880,0.5638143257877757,-0.16081283301651106
G0101110,Alabama,Randolph,1880,0.6719811727095104,0.5912938753801297
G0101130,Alabama,Russell,1880,0.5188080885935078,-0.47375061272262975
G0101150,Alabama,St Clair,1880,0.6745341433410756,0.6090452141034368
G0101170,Alabama,Shelby,1880,0.6560949599899694,0.4808337159374859
G0101190,Alabama,Sumter,1880,0.5053139138050746,-0.5675784321653179
G0101210,Alabama,Talladega,1880,0.6834381724405507,0.6709567905989561
G0101230,Alabama,Tallapoosa,1880,0.6750117166021659,0.6123658808663008
G0101250,Alabama,Tuscaloosa,1880,0.6133556786350814,0.18365855428817604
G0101270,Alabama,Walker,1880,0.6137456711432026,0.18637025375922142
G0101290,Alabama,Washington,1880,0.6043160212319576,0.12080392583241514
G0101310,Alabama,Wilcox,1880,0.522277749929339,-0.44962533181810976
G0101330,Alabama,Winston,1880,0.5552743464936001,-0.2201930950792972
G0250055,Alaska Territory,Northern District,1880,,
G0250095,Alaska Territory,Southern District,1880,,
G0450015,Arizona Territory,Apache,1880,0.6539812323531948,0.4661365256191642
G0450135,Arizona Territory,Maricopa,1880,0.608659872104345,0.1510076294104725
G0450155,Arizona Territory,Mohave,1880,0.35823114704801373,-1.5902756699572782
G0450195,Arizona Territory,Pima,1880,0.6239115405528181,0.25705566982934347
G0450215,Arizona Territory,Pinal,1880,0.6438652889682575,0.3957982556400359
G0450255,Arizona Territory,Yavapai,1880,0.605392319348207,0.12828765172905313
G0450275,Arizona Territory,Yuma,1880,0.691676878122349,0.7282422342272563
G0500010,Arkansas,Arkansas,1880,0.5456700723951319,-0.28697362150034217
G0500030,Arkansas,Ashley,1880,0.5355980955154056,-0.3570061831736903
G0500050,Arkansas,Baxter,1880,0.6269450989136459,0.2781486355431559
G0500070,Arkansas,Benton,1880,0.6092793232924782,0.15531480307206927
G0500090,Arkansas,Boone,1880,0.6258163505025828,0.2703002117773518
G0500110,Arkansas,Bradley,1880,0.5567133568812888,-0.21018735490258478
G0500130,Arkansas,Calhoun,1880,0.5438779093404338,-0.2994349060282562
G0500150,Arkansas,Carroll,1880,0.5665710475494588,-0.1416447700734816
G0500170,Arkansas,Chicot,1880,0.3414559608476292,-1.7069170479299665
G0500190,Arkansas,Clark,1880,0.5832428127629286,-0.025722499852023843
G0500210,Arkansas,Clay,1880,0.5337691785715827,-0.3697230251793077
G0500270,Arkansas,Columbia,1880,0.569363600521946,-0.12222756522807884
