gisjoin,year,bpd_fc
G2405100,1860,0.3677817625428542
G2405.00,1860,0.2297103197228192
G2409.00,1860,0.1804872112614257
G24011.0,1860,0.2212446976626618
G24013.0,1860,0.5304019648129974
G24015.0,1860,0.081482219928692
G24017.0,1860,0.0910891888580752
G24025.0,1860,0.1747715667831226
G24031.0,1860,0.1714784654590382
G24037.0,1860,0.4666853602520964
G24045.0,1860,0.0802719961860313
G25019.0,1860,0.1260027048631768
G25023.0,1860,0.1506679609622279
G25025.0,1860,0.6239665198824846
G2607.00,1860,0.6814404432132964
G2605.00,1860,0.6245400282218525
G26055.0,1860,0.6422583826429982
G26025.0,1860,0.4672256065632567
G26037.0,1860,0.5533067387912125
G26033.0,1860,0.7716306431356996
G26045.0,1860,0.6365254588283564
G26047.0,1860,0.6035502958579881
G26031.0,1860,0.7562425683709869
G2601110,1860,0.5933195592286502
G26049.0,1860,0.4785120975393778
G26063.0,1860,0.7743791088385683
G26069.0,1860,0.7044444444444444
G26087.0,1860,0.5660188606573585
G29017.0,1860,0.7535980480535989
G29019.0,1860,0.7193721773296559
G29021.0,1860,0.8488748289494215
G29023.0,1860,0.825335448476436
G29025.0,1860,0.8715545099490487
G29027.0,1860,0.7578045136814696
G29033.0,1860,0.835910596634247
G29037.0,1860,0.8040159570552118
G29035.0,1860,0.7691724956440493
G29039.0,1860,0.8111162500754088
G29045.0,1860,0.8648178953403216
G41057.0,1860,0.895
G41061.0,1860,0.9164902481870186
G41067.0,1860,0.911960888511
G42011.0,1860,0.0174980186381139
G42015.0,1860,0.6288051878463463
G42021.0,1860,0.1470371731931367
G42035.0,1860,0.1846313226419088
G42039.0,1860,0.6101731211232306
G42045.0,1860,0.2525332053777392
G42077.0,1860,0.0254056338018396
G42079.0,1860,0.4588251653206866
G42083.0,1860,0.6380469877016285
G42085.0,1860,0.2956530821367741
G42087.0,1860,0.0620773553719009
G42089.0,1860,0.1668077309124237
G42093.0,1860,0.1535736052587017
G42095.0,1860,0.1179444711201188
G4407.00,1860,0.5129956697707645
G4501.00,1860,0.1397757481250464
G45023.0,1860,0.1825253870049861
G45043.0,1860,0.3343421722430468
G45055.0,1860,0.212797338395742
G45069.0,1860,0.3158901426831609
G45071.0,1860,0.1035313019973861
G45075.0,1860,0.035083459055807
G45077.0,1860,0.2404810348474597
G45083.0,1860,0.2397856885797316
G45085.0,1860,0.1672644806993727
G45087.0,1860,0.0224109432886862
G45089.0,1860,0.2415613660225828
G45091.0,1860,0.2924885888473938
G4705.00,1860,0.5428544779090427
G4707.00,1860,0.5294230284706475
G47013.0,1860,0.4519634664269328
G47011.0,1860,0.4110603436546844
G47015.0,1860,0.4625609737988997
G4701330,1860,0.5493156874750289
G4701350,1860,0.397197659020035
G4701430,1860,0.5813001991039455
G4701450,1860,0.4886718110926655
G4701550,1860,0.5259948307507898
G4701510,1860,0.5252704294091224
G4701610,1860,0.510798544699947
G4701630,1860,0.4874230187856514
G4701670,1860,0.7700312636961285
G4701730,1860,0.3382605187679387
G4701830,1860,0.622010636492766
G4701850,1860,0.537487359601523
G48015.0,1860,0.9196343399427644
G48019.0,1860,0.9013878743608472
G48027.0,1860,0.8764044943820225
G48037.0,1860,0.8854599469835563
G48035.0,1860,0.8926039024895192
G48039.0,1860,0.9274292141425008
G48049.0,1860,0.8987654320987655
G48053.0,1860,0.8963653322170079
G48057.0,1860,0.9290353717146936
G48067.0,1860,0.8273398601144684
G48071.0,1860,0.903871107266436
G48085.0,1860,0.8597402055837035
G48089.0,1860,0.8951285561420603
G48097.0,1860,0.8680649971492478
G4801150,1860,0.9027777777777778
G4801210,1860,0.874960960750674
G4801450,1860,0.8775736992595737
G4801490,1860,0.9014874348636246
G4801610,1860,0.8672522368690663
G4801670,1860,0.9217951725888082
G4801750,1860,0.9115712755787794
G4801930,1860,0.8615111111111111
G4802030,1860,0.8782006255221927
G4802090,1860,0.8773553719008265
G4802150,1860,0.863905325443787
G4802170,1860,0.893306290695232
G4802230,1860,0.8716810207154182
G4802310,1860,0.8746025134964002
G4802370,1860,0.8744247205785668
G4802410,1860,0.875427319211103
G4802450,1860,0.8015419501133787
G50021.0,1860,0.4827988103288642
G5107.00,1860,0.0471453287197233
G5401.00,1860,0.1213441684203939
G51017.0,1860,0.0232968858131487
G5403.00,1860,0.3985009356222259
G51023.0,1860,0.0464581818627721
G5409.00,1860,0.6662732239697917
G51025.0,1860,0.0696110453648916
G51027.0,1860,0.5932988259058201
G51041.0,1860,0.0999906302536546
G51053.0,1860,0.189404629925647
G51055.0,1860,0.3033680000000001
G51059.0,1860,0.496852595518694
G51063.0,1860,0.0496976966024184
G54021.0,1860,0.0511768977743603
G51069.0,1860,0.1709058580439281
G51073.0,1860,0.106539229048416
G51077.0,1860,0.3571305643089012
G54029.0,1860,0.6623269265751899
G54027.0,1860,0.1980516341071893
G54031.0,1860,0.0879298331110427
G54033.0,1860,0.2584994037511973
G51087.0,1860,0.2495776535107642
G5101650,1860,0.0746427715496781
G5101750,1860,0.052314358936271
G5101830,1860,0.0289752480912476
G54091.0,1860,0.2874867972173996
G54093.0,1860,0.1939827639273622
G54095.0,1860,0.4935607707998436
G54097.0,1860,0.1367136573365532
G5101910,1860,0.2679589131448564
G54099.0,1860,0.4055588709302783
G5401050,1860,0.3416531653696153
G5101950,1860,0.522972088736289
G5101970,1860,0.158017989373458
G5101990,1860,0.1734156119093733
G53029.0,1860,0.8704706372344857
G53073.0,1860,0.9190051020408164
G5309.00,1860,0.8772309356408869
G53035.0,1860,0.7700773349196908
G1207.00,1870,0.677940379403794
G12013.0,1870,0.7612222823147647
G12023.0,1870,0.7208185112801324
G12037.0,1870,0.8542060491493384
G12039.0,1870,0.7573722276210215
G12047.0,1870,0.6230764882130138
G12059.0,1870,0.7805053826404216
G12063.0,1870,0.7408949653129944
G12065.0,1870,0.731379196987292
G12073.0,1870,0.8215505567150805
G12075.0,1870,0.7743062338408504
G12087.0,1870,0.8544026119783695
G12089.0,1870,0.8020512820512821
G12095.0,1870,0.701590830315417
G1301290,1870,0.6831703317901234
G1301370,1870,0.5559262820027555
G1301410,1870,0.2012577765527318
G1301430,1870,0.4952445408584028
G1301490,1870,0.3763491255035399
G1301530,1870,0.4341460849708551
G1301590,1870,0.2085536454458498
G1301670,1870,0.0162009688090736
G1301750,1870,0.1735796740606608
G1301770,1870,0.3056607509715107
G1301790,1870,0.2029213820301783
G1301810,1870,0.3364635443857759
G1301930,1870,0.5010187871581451
G1301970,1870,0.4031145413564647
G1301990,1870,0.2716477376376253
G1302010,1870,0.42087695803912
G1302030,1870,0.4636626134335563
G1302070,1870,0.2772921192730289
G1302090,1870,0.2658518724274639
G1302130,1870,0.7506587902338222
