gisjoin,year,n_heads,n_farmers,share_farmers_fc
G2401.00,1850,3712,838.0,0.2257543103448276
G2503.00,1850,8849,3375.0,0.3813990281387727
G2509.00,1850,25152,2753.0,0.1094545165394402
G25017.0,1850,28222,4832.0,0.1712139465665084
G26059.0,1850,2990,2325.0,0.7775919732441472
G26061.0,1850,95,3.0,0.031578947368421
G26065.0,1850,1585,1188.0,0.7495268138801262
G26067.0,1850,1372,1060.0,0.7725947521865889
G26075.0,1850,3524,2632.0,0.7468785471055619
G26077.0,1850,2343,1086.0,0.4635083226632522
G26081.0,1850,2184,1322.0,0.6053113553113553
G26091.0,1850,4800,2977.0,0.6202083333333334
G26093.0,1850,2336,1800.0,0.7705479452054794
G26099.0,1850,2642,1857.0,0.7028766086298259
G26097.0,1850,531,53.0,0.0998116760828625
G2601270,1850,53,11.0,0.2075471698113207
G2601310,1850,33,3.0,0.0909090909090909
G2601390,1850,1083,508.0,0.469067405355494
G2601490,1850,2258,1426.0,0.6315323294951284
G2601530,1850,5,1.0,0.2
G2601550,1850,958,726.0,0.7578288100208769
G2601570,1850,64,47.0,0.734375
G2601590,1850,1053,727.0,0.6904083570750238
G2601630,1850,6906,2442.0,0.3536055603822763
G2709.00,1850,60,19.0,0.3166666666666666
G27037.0,1850,74,12.0,0.1621621621621621
G27087.0,1850,11,1.0,0.0909090909090909
G27069.0,1850,176,3.0,0.0170454545454545
G2701570,1850,54,19.0,0.3518518518518518
G2701590,1850,26,0.0,0.0
G2807.00,1850,1434,1110.0,0.7740585774058577
G28011.0,1850,91,66.0,0.7252747252747253
G28019.0,1850,1378,1107.0,0.8033381712626996
G28021.0,1850,632,296.0,0.4683544303797468
G28031.0,1850,339,265.0,0.7817109144542773
G28033.0,1850,1607,1194.0,0.7429993777224643
G28047.0,1850,652,138.0,0.2116564417177914
G28049.0,1850,1605,834.0,0.5196261682242991
G28051.0,1850,963,637.0,0.6614745586708204
G28059.0,1850,422,202.0,0.4786729857819905
G28063.0,1850,490,311.0,0.6346938775510204
G28075.0,1850,1026,797.0,0.776803118908382
G28079.0,1850,689,516.0,0.7489114658925979
G28093.0,1850,2229,1601.0,0.718259309107223
G28099.0,1850,571,462.0,0.809106830122592
G2901690,1850,625,433.0,0.6928
G2901710,1850,274,221.0,0.8065693430656934
G2901730,1850,772,580.0,0.7512953367875648
G2901750,1850,1109,820.0,0.739404869251578
G2901770,1850,1420,974.0,0.6859154929577465
G2901810,1850,443,354.0,0.7990970654627539
G2901890,1850,15367,1329.0,0.0864840242077178
G2901970,1850,536,434.0,0.8097014925373134
G2901990,1850,580,478.0,0.8241379310344827
G2902010,1850,482,318.0,0.6597510373443983
G2902050,1850,649,399.0,0.6147919876733436
G2902130,1850,660,589.0,0.8924242424242425
G2902150,1850,379,267.0,0.7044854881266491
G2902290,1850,530,390.0,0.7358490566037735
G3301.00,1850,3726,2008.0,0.5389157273215244
G3309.00,1850,8007,5435.0,0.6787810665667541
G33015.0,1850,9587,3456.0,0.3604881610514238
G34041.0,1850,3899,1392.0,0.357014619133111
G3501.00,1850,1611,739.0,0.4587212911235258
G35047.0,1850,2643,1152.0,0.4358683314415437
G35049.0,1850,1468,512.0,0.3487738419618528
G35055.0,1850,2101,718.0,0.3417420276059019
G3601.00,1850,17041,3187.0,0.1870195411067425
G3603.00,1850,7189,4266.0,0.5934065934065934
G3607.00,1850,5707,3329.0,0.5833187313825127
G3609.00,1850,6669,4351.0,0.6524216524216524
G36011.0,1850,9585,4945.0,0.5159102764736567
G36013.0,1850,9110,5480.0,0.601536772777168
G36017.0,1850,7671,5084.0,0.6627558336592361
G36049.0,1850,4597,3215.0,0.6993691537959539
G36053.0,1850,8222,4232.0,0.5147166139625395
G36055.0,1850,15290,4304.0,0.2814911706998038
G36057.0,1850,5524,1932.0,0.3497465604634323
G36067.0,1850,15325,5230.0,0.3412724306688418
G36069.0,1850,7793,3350.0,0.4298729629154369
G36075.0,1850,11416,5248.0,0.4597056762438682
G36079.0,1850,2650,1009.0,0.380754716981132
G36081.0,1850,6386,2191.0,0.3430942687128093
G36083.0,1850,13094,3644.0,0.2782954024744157
G3601170,1850,8195,4252.0,0.5188529591214155
G3701.00,1850,1488,747.0,0.5020161290322581
G3703.00,1850,822,572.0,0.6958637469586375
G3709.00,1850,1383,1189.0,0.8597252349963846
G37013.0,1850,1638,660.0,0.4029304029304029
G37015.0,1850,1035,562.0,0.5429951690821256
G37025.0,1850,1278,856.0,0.6697965571205008
G37033.0,1850,1339,778.0,0.5810306198655714
G37041.0,1850,597,318.0,0.5326633165829145
G37047.0,1850,778,519.0,0.6670951156812339
G37051.0,1850,2507,831.0,0.3314718787395293
G37057.0,1850,2317,1417.0,0.6115666810530859
G37059.0,1850,1015,609.0,0.6
G37065.0,1850,1594,726.0,0.4554579673776662
G37067.0,1850,1730,870.0,0.5028901734104047
G37079.0,1850,659,327.0,0.496206373292868
G37083.0,1850,1709,741.0,0.4335868929198361
G37097.0,1850,1807,1078.0,0.5965688987271721
G37091.0,1850,808,306.0,0.3787128712871287
G37095.0,1850,939,352.0,0.3748668796592119
G3701010,1850,1684,1122.0,0.666270783847981
G3701030,1850,434,256.0,0.5898617511520737
G3701110,1850,850,491.0,0.5776470588235294
G3701130,1850,938,652.0,0.6950959488272921
G39023.0,1850,3680,1547.0,0.4203804347826086
G39025.0,1850,5375,2486.0,0.4625116279069767
G39027.0,1850,3173,1896.0,0.597541758588087
G39035.0,1850,8439,2662.0,0.3154402180353122
G39037.0,1850,3481,2435.0,0.6995116345877621
G39039.0,1850,1200,775.0,0.6458333333333334
G39047.0,1850,2122,1245.0,0.5867106503298775
G39049.0,1850,6955,2702.0,0.3884974838245866
G39053.0,1850,2927,1798.0,0.614280833618039
G39055.0,1850,3348,2523.0,0.753584229390681
G39057.0,1850,3719,1910.0,0.5135789190642646
G39059.0,1850,3592,2199.0,0.6121937639198218
G39061.0,1850,26159,2856.0,0.1091784854161091
G3901090,1850,4360,2143.0,0.4915137614678899
G3901130,1850,6340,2397.0,0.3780757097791798
G3901150,1850,4842,2874.0,0.5935563816604709
G3901230,1850,601,423.0,0.7038269550748752
G3901290,1850,3568,1795.0,0.5030829596412556
G3901310,1850,1906,1213.0,0.636411332633788
G3901330,1850,4565,2666.0,0.5840087623220154
G3901350,1850,3666,1998.0,0.5450081833060556
G3901450,1850,2937,1050.0,0.3575076608784474
G3901470,1850,4581,2741.0,0.5983409735865531
G3901490,1850,2315,1471.0,0.6354211663066954
G3901510,1850,6813,3341.0,0.4903860267136357
G42013.0,1850,3761,970.0,0.2579101302844988
G42017.0,1850,10005,4390.0,0.4387806096951524
G42019.0,1850,5270,3365.0,0.6385199240986718
G42025.0,1850,2507,295.0,0.1176705225368967
G42027.0,1850,3864,1419.0,0.3672360248447205
G42029.0,1850,11477,4017.0,0.3500043565391653
G42031.0,1850,4045,1897.0,0.468974042027194
G42033.0,1850,2100,1305.0,0.6214285714285714
G42037.0,1850,3039,1159.0,0.3813754524514643
G42041.0,1850,6055,1887.0,0.3116432700247729
G42043.0,1850,6281,1606.0,0.25569176882662
G42081.0,1850,4522,1808.0,0.3998230871295887
G42091.0,1850,10065,3653.0,0.3629408842523596
G42097.0,1850,4056,1702.0,0.4196252465483234
G42099.0,1850,3497,1343.0,0.3840434658278524
G4201010,1850,67284,1356.0,0.0201533797039415
G4401.00,1850,1493,183.0,0.1225720026791694
G4403.00,1850,2827,713.0,0.25221082419526
G4405.00,1850,3591,835.0,0.2325257588415483
G4409.00,1850,3046,1329.0,0.4363099146421536
G4507.00,1850,2406,1652.0,0.686616791354946
G45011.0,1850,2414,1577.0,0.6532725766362883
G45013.0,1850,1364,633.0,0.4640762463343108
G45019.0,1850,5136,798.0,0.1553738317757009
G45025.0,1850,1244,740.0,0.594855305466238
G45029.0,1850,1354,764.0,0.5642540620384048
G45031.0,1850,1300,826.0,0.6353846153846154
G45037.0,1850,2969,1833.0,0.6173795890872348
G45039.0,1850,1240,834.0,0.6725806451612903
G45045.0,1850,2317,1197.0,0.5166163141993958
G45051.0,1850,959,786.0,0.8196037539103233
G45057.0,1850,1078,661.0,0.6131725417439703
G45059.0,1850,2088,1447.0,0.6930076628352491
G45063.0,1850,1281,826.0,0.644808743169399
G45067.0,1850,1851,1356.0,0.7325769854132901
G45079.0,1850,1595,513.0,0.3216300940438871
G4701.00,1850,1058,828.0,0.782608695652174
G4703.00,1850,2671,1290.0,0.4829651815799326
G4701310,1850,1120,893.0,0.7973214285714286
G4701390,1850,1000,766.0,0.766
G4701470,1850,1974,1395.0,0.7066869300911854
G4701490,1850,2802,1824.0,0.6509635974304069
G4701570,1850,2796,1120.0,0.4005722460658083
G4701590,1850,2404,978.0,0.4068219633943428
G4701650,1850,2493,1525.0,0.6117127958283193
G4701750,1850,396,247.0,0.6237373737373737
G4701770,1850,1352,801.0,0.5924556213017751
G4701790,1850,2173,1369.0,0.6300046019328118
G4701810,1850,1204,852.0,0.707641196013289
G4701870,1850,2466,1588.0,0.6439578264395782
G4701890,1850,3318,986.0,0.297166968053044
G4801.00,1850,360,275.0,0.7638888888888888
G4805.00,1850,163,106.0,0.6503067484662577
G48021.0,1850,389,251.0,0.6452442159383034
G48029.0,1850,1124,173.0,0.1539145907473309
G48041.0,1850,78,63.0,0.8076923076923077
G48051.0,1850,223,172.0,0.7713004484304933
G48055.0,1850,170,118.0,0.6941176470588235
G48061.0,1850,1705,384.0,0.2252199413489736
G48073.0,1850,872,693.0,0.7947247706422018
G48091.0,1850,349,91.0,0.2607449856733524
G4801130,1850,445,353.0,0.7932584269662921
G4801230,1850,229,176.0,0.7685589519650655
G4801390,1850,159,133.0,0.8364779874213837
G4801470,1850,488,317.0,0.6495901639344263
G4801570,1850,173,100.0,0.5780346820809249
G4801870,1850,202,123.0,0.6089108910891089
G4801710,1850,262,62.0,0.2366412213740458
G4801770,1850,184,14.0,0.0760869565217391
G4801810,1850,267,197.0,0.7378277153558053
G4801850,1850,419,279.0,0.665871121718377
G4802010,1850,816,303.0,0.3713235294117647
G4802130,1850,189,154.0,0.8148148148148148
G4802250,1850,345,244.0,0.7072463768115942
G4802390,1850,106,76.0,0.7169811320754716
G4802570,1850,168,133.0,0.7916666666666666
G4802850,1850,194,156.0,0.8041237113402062
G4802890,1850,227,158.0,0.6960352422907489
G4803310,1850,417,327.0,0.7841726618705036
